OBJECTID,Categoria,Codigo Tramo,Poste de Referencia Inicial,Distancia Inicial,Poste de Referencia Final,Distancia Final,Nombre Ruta,Sector,Administrador,Grupo Administrador Vial,Superficie,Calzada,Ruta,Fuente,GlobalID,nombretramo,created_user,created_date,last_edited_user,last_edited_date,Territorial,revisionestado,Shape__Length
79,1,5008A,58,920,63,950,Transversal Las Animas - Bogotá,Paso Nacional por Madrid,1,1,3,2,50,IGAC (Contrato 2932/2008),e8e34d74-399b-4fa1-8adf-93e50db29004,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,12,No Revisado,5500.34740584369
80,1,2902,28,600,45,0,Acceso a Manizales,Chinchiná - Estación Uribe,1,1,3,1,29,IGAC (Contrato 2130/2014),e1616acd-6c75-4111-871d-d627bc12e255,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,5,No Revisado,16893.6182845372
81,1,6508,103,938,106,0,Transversal Buga - Puerto Inirida,Ye de Granada - Casco Urbano Granada,2,,3,1,65,IGAC (Contrato 2932/2008),e8b5d90f-6cd5-48f9-a1cf-da51004b4bbe,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,2428.08214338584
82,1,6507,0,0,102,600,Transversal Buga - Puerto Inirida,San José del Guaviare - Cruce Puerto Rico,1,4,3,1,65,IGAC (Contrato 2932/2008),27ba64aa-fa49-4610-beb2-aadfb50512e3,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,99689.6496262875
83,3,6509,57,352,58,564,Troncal Villagarzon - Saravena,Paso Antiguo por el Río Guayuriba,1,1,3,2,65,IGAC (Contrato 2932/2008),9097becf-8164-45a9-a4a3-46c84a12606c,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,669.674775659603
84,3,65MTC,0,0,3,100,Alternas a la Transversal Buga - Puerto Inirida,Paso Nacional por Puerto Santander,1,3,3,1,65,IGAC (Contrato 2130/2014),028c7857-8876-41ce-bd54-84454a981d3b,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,3057.67611243357
85,1,4510,0,0,0,170,Troncal del Magdalena,Viaducto Honda - Entrada Puente Puerto Salgar,2,,3,2,45,IGAC (Contrato 2130/2014),259284ba-fbca-4c57-8e48-7a23389bbd3b,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,28,No Revisado,171.73589864421
86,1,6503,0,0,96,763,Troncal Villagarzon - Saravena,Florencia - Puerto Rico,1,1,3,2,65,IGAC (Contrato 2932/2008),4aa984fb-a513-43b5-a8c7-b0e3862e09ca,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,6,No Revisado,95823.016223983
87,1,4518,46,764,98,0,Troncal del Magdalena,Paso Nacional por Aracataca - Ye de Ciénaga,2,,3,1,45,IGAC (Contrato 2932/2008),9f3d2238-bbf5-4c79-9b74-18514ce72632,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,15,No Revisado,51198.3708995572
88,1,9007,1,1794,94,785,Transversal del Caribe,Barranquilla - Santa Marta,3,,3,2,90,IGAC (Contrato 2932/2008),e32e5a5e-e67e-46ec-8033-8788dfbb2a2b,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,15,No Revisado,129502.608919626
89,1,4518,0,0,35,725,Troncal del Magdalena,Río Ariguaní - Paso Nacional por Aracataca,2,,3,1,45,IGAC (Contrato 2932/2008),eec4ccc6-3f45-4c1c-9864-bf1e53079cb8,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,15,No Revisado,35733.9419243814
90,1,6008,37,0,73,0,Transversal Puerto Boyaca - Monterrey,Sáchica - Tunja,1,3,3,1,60,IGAC (Contrato 2932/2008),38c264bf-dbaa-491a-b055-947e19ff7d84,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,4,No Revisado,35149.8738116047
91,1,5006,0,0,82,1000,Transversal Las Animas - Bogotá,Puente La Libertad - Fresno,1,1,3,1,50,IGAC (Contrato 2932/2008),2b6a4834-77b9-4c11-a10d-899cc19216f4,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,5,No Revisado,82285.9325151915
92,1,6512,0,0,103,287,Troncal Villagarzon - Saravena,Monterrey - Yopal,2,,3,1,65,IGAC (Contrato 2932/2008),54f5457d-1b7a-4197-9ea5-06612e3e0836,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,7,No Revisado,102225.989317481
93,1,45TLB,0,0,4,120,Alternas a la Troncal del Magdalena,Variante Espinal,2,,3,1,45,Google Maps,cdd78d30-39fa-4384-8372-0c3af1b8141d,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,24,No Revisado,4128.36178004818
94,3,65MTD,0,0,4,110,Alternas a la Transversal Buga - Puerto Inirida,Paso Nacional por Puerto Aljure,1,3,3,1,65,IGAC (Contrato 2932/2008),2ecfe18d-d0fb-4b0a-922c-3871e6928464,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,4139.71691934742
95,1,65MTF,0,0,1,780,Alternas a la Troncal Villagarzon - Saravena,Variante de Restrepo,2,,3,1,65,IGAC (Contrato 2932/2008),1e6999aa-8240-4222-83d6-3895efa806e2,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,1779.51439708237
96,1,45A04,11,700,16,100,Troncal Central,Paso Nacional por Cajicá,1,1,3,1,45,IGAC (Contrato 2932/2008),ba16aa11-f1fb-41b7-8cbf-7e9ab654b164,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,12,No Revisado,4536.10152946621
97,2,65A02,0,0,109,821,Troncal Villagarzon - Saravena,La Uribe - Ye de Granada,1,3,3,1,65,IGAC (Contrato 2932/2008),ab285fcd-79d0-4bf3-922a-5d22d50e0409,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,110355.01717691
98,1,6604,0,0,150,0,Transversal Tribuga - Arauca,La Lejía - Saravena,1,4,3,1,66,IGAC (Contrato 2932/2008),1b0ddd7f-b251-4408-8389-2004e64c8ea1,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,18,No Revisado,148618.9490379
99,1,5505,68,500,131,500,Troncal Central del Norte,Pamplona - Los Patios,2,,3,2,55,IGAC (Contrato 2932/2008),d57c89b0-72b4-4e28-a8cb-65b63f926d52,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,18,No Revisado,62114.9210080365
100,1,6006,0,0,95,80,Transversal Puerto Boyaca - Monterrey,Cruce Ruta 45 (Dos y Medio) - Otanche,1,1,3,1,60,IGAC (Contrato 2130/2014),33922a65-62b7-48ed-bfc3-688c610b6a53,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,4,No Revisado,94571.5629934897
101,3,65AMTB,0,0,2,1012,Alternas a la Troncal Villagarzon - Saravena,Accesos al Puente Guillermo León Valencia,1,3,3,1,65,IGAC (Contrato 2932/2008),05a7b9a1-10cc-4dbd-b125-a050f5b9cc6c,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,2826.03617284767
102,1,4902,6,199,75,237,Troncal del Carbon,Río Pereira - Buenavista,1,1,3,2,49,IGAC (Contrato 2130/2014),24aebd98-d183-470a-88af-2fb64315bc79,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,13,No Revisado,71397.4175947656
103,2,65AMTC,0,0,1,300,Alternas a la Troncal Villagarzon - Saravena,Acceso a Granada,1,3,3,1,65,IGAC (Contrato 2130/2014),2a5ada33-55f8-4533-a717-e6844d897bf2,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,1342.45948991084
104,1,45TLA,0,0,5,800,Troncal del Magdalena,Variante El Guamo,2,,3,1,45,Google Maps,63a429ed-d9a9-4023-8026-ba38b4c2aa2f,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,24,No Revisado,5802.85559475316
105,1,7009,0,0,57,600,Acceso a Cucuta y Venezuela,Sardinata - El Zulia,1,1,3,1,70,IGAC (Contrato 2932/2008),c5daab98-b741-4d2b-ba77-ae0685723863,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,18,No Revisado,57470.9872051421
106,1,9004,49,0,65,937,Transversal del Caribe,Coveñas  - San Onofre,2,,3,1,90,IGAC (Contrato 2932/2008),59ddc9ac-3e64-411b-9d0c-f681efabcd0e,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,23,No Revisado,16979.2715490221
107,1,4503,1,600,66,0,Troncal del Magdalena,Mocoa - San Juan de Villalobos,2,,3,1,45,IGAC (Contrato 2932/2008),3d290788-1e24-47c2-8863-cb7195cdd9a4,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,19,No Revisado,63605.8388888381
108,3,26CC04,18,0,25,0,Circuitos Ecoturisticos Huila - Cauca,Tumbichucué - Calderas,1,3,3,1,26,IGAC (Contrato 2130/2014),13624098-6e3d-4d97-b78b-830705f03a60,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,8,No Revisado,7259.83199955328
109,3,26CC07,0,0,43,0,Alternas a la Transversal Huila - Cauca,Inzá - Pedregal - Juntas,1,3,3,1,26,IGAC (Contrato 2130/2014),eacf0f40-6402-49a0-b342-20bd4b02691a,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,8,No Revisado,42607.1777543778
110,2,26CC03-2,0,0,75,0,Circuitos Ecoturisticos Huila - Cauca,Tierracruz - Naranjal,1,4,3,1,26,IGAC (Contrato 2130/2014),45d1e04c-bb15-4c31-8d71-58283bf3186a,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,8,No Revisado,72065.0842648998
111,2,65AMTA,0,0,3,1100,Alternas a la Troncal Villagarzon - Saravena,Paso por Puerto Caldas,1,3,3,1,65,IGAC (Contrato 2932/2008),a487c7fe-b305-4188-8d00-86c12497179f,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,3581.70953653275
112,2,45HL01,1,350,23,150,Alternas a la Troncal del Magdalena,Hobo - Yaguará (Inspección de Letrán),1,3,3,1,45,IGAC (Contrato 2932/2008),27e5d6e5-e133-4a34-b3ab-95fe3eeede27,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,14,No Revisado,21787.1778205046
113,1,4005,0,0,0,211,Transversal Buenaventura - Villavicencio - Puerto Carreño,Puente Mariano Ospina Perez,2,,3,1,40,Google Maps,f87aad5b-bdd8-4124-998a-c8e4c9a0b651,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,12,No Revisado,210.919080245652
114,1,4007,0,654,78,222,Transversal Buenaventura - Villavicencio - Puerto Carreño,Villavicencio - Paso por el Puente sobre el Río La Balsa -Puerto Lopez,2,,3,1,40,IGAC (Contrato 2932/2008),d42202e9-6f77-44a9-aff2-b365c665d444,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,77618.1686158253
115,1,4518,98,0,100,289,Troncal del Magdalena,Ye de Ciénaga (Lado Manantial) - Intersección Ruta 90,1,1,3,1,45,IGAC (Contrato 2130/2014),869eee7d-ce71-4e91-baef-b613ba2c2eff,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,15,No Revisado,2222.7447277479
116,1,2402,0,0,100,368,Transversal Huila - Cauca,Candelaria - Laberinto,1,2,3,2,24,IGAC (Contrato 2130/2014),d3ac2174-de5c-41b5-b93d-2f63f80671e1,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,14,No Revisado,100860.706766514
117,1,4501,0,0,109,0,Troncal del Magdalena,Puente Internacional San Miguel - Santana,1,1,3,2,45,Google Maps (DC Criterio Técnico),dc1eb4c8-d97a-4ce4-b971-0bb4afaa042a,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,19,No Revisado,103023.864930822
118,1,5001,82,0,130,0,Transversal Tribuga - Arauca,Río Pató (El Afirmado) - La Ye (Las Animas),1,2,3,1,50,IGAC (Contrato 2932/2008),8bb44f14-8e66-48c1-98b3-7392854a4a01,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,10,No Revisado,47546.3722561717
119,1,5003,0,0,79,0,Transversal Las Animas - Bogotá,Santa Cecilia - Asia,1,1,3,1,50,IGAC (Contrato 2130/2014),4768bed0-7250-41b3-be55-3b9532645ce3,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,21,No Revisado,76715.0644061804
120,1,4502,0,0,60,300,Troncal del Magdalena,Santana - Ye de Urcusique,2,,3,1,45,IGAC (Contrato 2130/2014),70c201de-d421-450c-aa53-b15365136fc8,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,19,No Revisado,60386.2606274093
121,1,2506,79,578,88,300,Troncal de Occidente,Cartago - Cerritos,6,8,3,2,25,IGAC (Contrato 2932/2008),b07796d1-aa39-46fa-895c-f163b6800495,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,21,No Revisado,17792.2004330813
122,1,2501,0,40,83,0,Troncal de Occidente,Puente internacional de Rumichaca - San Juan de Pasto,2,,3,1,25,Google Maps,b6e2b2dd-c134-40f2-a236-02c9125a699b,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,17,No Revisado,85518.9108481964
123,1,2513,0,0,2,780,Troncal de Occidente,Paso Nacional por Caucasia,1,2,3,1,25,IGAC (Contrato 2932/2008),676cbbf8-d5bc-4634-bc6e-242972ba15e8,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,11,No Revisado,2776.74085739452
124,1,9010,0,0,88,0,Transversal del Caribe,Riohacha - Paraguachón,2,,3,1,90,IGAC (Contrato 2932/2008),ba15181e-02a1-4d09-b716-41ad91cd1c40,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,13,No Revisado,87508.5200832534
125,4,45A06,0,0,125,800,Troncal Central,Puente Nacional - San Gil,1,5,3,1,45,IGAC (Contrato 2932/2008),616a4027-4665-41da-adb5-0b56fc787309,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,22,No Revisado,124723.828522107
126,1,5008A,36,0,58,920,Transversal Las Animas - Bogotá,Los Alpes - Madrid,1,,3,2,50,IGAC (Contrato 2932/2008),9aa714ac-bb59-411e-8876-7d1d8a269b3b,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,12,No Revisado,35860.3163252131
127,4,4511,0,0,149,484,Troncal del Magdalena,Río Ermitaño - La Lizama,2,,3,2,45,Google Maps,c7bb17ca-d5c4-464f-9909-3dda9852c03b,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,28,No Revisado,182615.263896213
128,1,4005,62,980,122,0,Transversal Buenaventura - Villavicencio - Puerto Carreño,Fusagasugá - Silvania - Bogotá (Bosa),2,,3,2,40,"Google Maps, WFS ANI.",5c63f851-0c0d-48f8-a02d-20cd923a6d60,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,12,No Revisado,111760.725700873
129,1,2515,25,0,108,250,Troncal de Occidente,Puerta de Hierro - Carreto,2,,3,1,25,IGAC (Contrato 2932/2008),b479f5e5-4569-433b-bdb6-cb12fc5653d7,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,3,No Revisado,171893.496019256
130,1,2516,0,0,54,0,Troncal de Occidente,Calamar - Palmar de Varela,2,,3,1,25,IGAC (Contrato 2932/2008),db68a95a-0e4e-4e2e-8bba-1513341b0996,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,2,No Revisado,54315.5242453296
131,1,25BL02,0,0,25,93,Acceso a Cartagena,Carreto - Cruz del Viso,2,,3,1,25,IGAC (Contrato 2932/2008),6bf18f68-4b16-40db-8ce2-a83714c893f5,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,3,No Revisado,25210.0066406457
132,1,25SC01,0,0,18,335,Acceso a Sincelejo,Sincelejo - Toluviejo,1,,3,1,25,IGAC (Contrato 2932/2008),4b858b4d-2ad4-4e38-a527-b25fd9baf825,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,23,No Revisado,35682.3340873325
133,1,4313,0,0,21,0,Transversal Depresion Momposina,El Banco  - San José,1,2,3,1,43,IGAC (Contrato 2932/2008),6e572680-007e-4684-8b60-9d43b318490a,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,15,No Revisado,20831.2891017392
134,2,43CS02,0,0,31,860,Transversal Depresion Momposina,Ye de Arjona - Cuatrovientos,1,1,3,1,43,IGAC (Contrato 2932/2008),09ef7d43-803c-458e-9da5-4ff9c0a5395f,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,9,No Revisado,31705.9285539749
135,3,55BY11,0,0,6,953,Transversal San Gil - Mogotes - La Rosita,Santa Rosita - Límites Departamento de Boyacá,1,5,3,1,55,IGAC (Contrato 2932/2008),93685ab4-adae-4866-824a-fb7a327251fb,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,4,No Revisado,6908.51857245845
136,3,55BY11,6,953,32,0,Transversal San Gil - Mogotes - La Rosita,Limites Departamento de Boyacá - Onzaga,1,2,3,1,55,IGAC (Contrato 2932/2008),9973d0d1-a853-4842-9df4-9a76896c0008,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,22,No Revisado,23032.3565648111
137,1,6205,9,700,53,0,Transversal Tribuga - Arauca,Barbosa - Cisneros,2,,3,2,62,IGAC (Contrato 2130/2014),5e62c566-374d-4ea8-a6e3-02eae340d535,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,1,No Revisado,43356.8950595049
138,1,6203,59,635,115,17,Troncal de Uraba,Cañasgordas - Santafé de Antioquia,2,,3,1,62,IGAC (Contrato 2932/2008),b33bb592-be63-4cf4-8967-40fc0e16436c,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,1,No Revisado,53974.5805055036
139,1,6204,0,0,16,0,Troncal de Uraba,Santafé de Antioquia - Puente Aurra,2,,3,1,62,IGAC (Contrato 2932/2008),0a84a173-bb68-4419-9c72-e5fb37b6d1bc,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,1,No Revisado,15998.7699755721
140,1,90BLC,0,0,9,130,Alternas a la Transversal del Caribe,Variante de Cartagena y accesos,2,,3,1,90,IGAC (Contrato 2932/2008),ad35e45e-b8e4-4c98-9316-7e4382733344,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,3,No Revisado,17341.3655494926
141,2,6007,0,0,32,0,Transversal Puerto Boyaca - Monterrey,Otanche - Río Minero,1,1,3,1,60,IGAC (Contrato 2932/2008),371b5157-6ed6-4441-8e9d-7055776439b9,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,4,No Revisado,31792.5234831075
142,1,4518,35,725,46,764,Troncal del Magdalena,Paso Nacional por Aracataca,1,1,3,1,45,IGAC (Contrato 2932/2008),b0f0fa2c-fd27-4ca9-a403-8d803c0f6ab4,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,15,No Revisado,11082.8795666746
143,3,50CN01,19,0,35,490,Circuito de las Provincias de Rionegro y Bajo Magdalena,Caparrapí - La Aguada,1,2,3,1,50,IGAC (Contrato 2932/2008),827c26cb-1d4a-4c82-b800-5064a72b393e,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,12,No Revisado,16654.389524677
144,1,2512,0,0,61,276,Troncal de Occidente,Tarazá - Caucasia,1,3,3,2,25,IGAC (Contrato 2130/2014),aa08e873-5b6d-4a09-8189-75263aa90794,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,1,No Revisado,60481.8816392562
145,2,55STA,0,0,2,215,Troncal Central del Norte,Variante de Concepción,1,1,3,1,55,IGAC (Contrato 2932/2008),f0597733-ce44-4b33-a54f-1cb183633fe3,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,22,No Revisado,2174.13879645862
146,2,2702,0,0,63,1505,Paralela del Rio Magdalena,Salamina - Palermo,1,1,3,1,27,IGAC (Contrato 2130/2014),c082f8af-ad97-44da-9783-40434d95e977,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,2,No Revisado,61226.0588693816
147,2,74CR02,0,0,55,0,Transversal del Caribe,Santa Lucía - Moñitos,1,1,3,1,74,IGAC (Contrato 2932/2008),43b816d2-2081-4f49-9ba9-b663a0ea7007,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,11,No Revisado,54927.2986091206
148,1,9001,0,0,43,773,Transversal del Caribe,Turbo - Necoclí,2,,3,2,90,IGAC (Contrato 2932/2008),c872d116-9471-45a3-aa1a-706da7d08b6f,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,1,No Revisado,45737.2960835525
149,2,9003,0,0,28,0,Transversal del Caribe,Moñitos - San Bernardo del Viento,1,1,3,1,90,IGAC (Contrato 2932/2008),0090a879-7dfe-44d5-a7b2-4476780dbc64,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,11,No Revisado,27468.1974667422
150,1,9004,5,850,23,300,Transversal del Caribe,Lorica - Coveñas,2,,3,1,90,IGAC (Contrato 2932/2008),bd738802-d1c4-45a7-b7e8-fa360becdfa5,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,11,No Revisado,16999.6033690164
151,1,5002,0,0,50,0,Transversal Las Animas - Bogotá,Las Animas - Mumbú,1,2,3,2,50,IGAC (Contrato 2932/2008),44f4bacb-dec9-464e-a928-43dccb8266d4,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,10,No Revisado,48602.228584298
152,2,55NS08,25,0,33,0,Conexiones Troncal Central - Troncal Central del Norte,San Cayetano - Cornejo,1,1,3,1,55,IGAC (Contrato 2932/2008),1e2ab5fe-f77b-43ff-94c7-58c17540ee9f,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,18,No Revisado,8065.05207405888
153,1,5601,49,0,103,0,Circuito Medellin - Valle de Rionegro,La Unión - Sonsón,1,2,3,2,56,IGAC (Contrato 2932/2008),18046be4-e3af-43b3-81d9-77ea902000dc,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,1,No Revisado,54925.7811826232
154,1,2310,0,0,49,0,Acceso a Monteria,Planeta Rica - Montería,2,,3,1,23,IGAC (Contrato 2932/2008),ca3d56a3-0fe6-4a6b-865c-97f4b10866a6,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,11,No Revisado,49584.1245189169
155,1,2509,0,0,54,0,Troncal de Occidente,La Pintada - Primavera,2,,3,1,25,IGAC (Contrato 2932/2008),62f73087-9759-4a1d-8f72-4e77394cd27b,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,1,No Revisado,53106.8758518626
156,1,2510,52,474,87,1295,Troncal de Occidente,Hoyo Rico - Los Llanos,1,3,3,1,25,IGAC (Contrato 2932/2008),807cc9ee-6cea-446c-b545-79f29089a7b8,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,1,No Revisado,35617.6183735789
157,1,2511,0,0,124,705,Troncal de Occidente,Los Llanos - Tarazá,1,3,3,1,25,IGAC (Contrato 2932/2008),2e314823-6838-4ba7-a828-c37fd90ce3dc,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,1,No Revisado,124213.92832351
158,1,2514,0,0,52,0,Troncal de Occidente,Planeta Rica - La Ye,1,2,3,1,25,IGAC (Contrato 2932/2008),4e1aece0-c85a-4556-b67e-a7ee6fdf14aa,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,11,No Revisado,51824.8203485066
